2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ()
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future',)
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ()
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
2025-10-12 13:38:12 [DEBUG] ahooks.models.repoConfigBlock: ('add-from-future', 'block-manual-req-edits', 'emit-requirements', 'env-skeleton')
